	hitsIn	hitsOut
pfam1368	4	2
pfam1369	4	2
pfam1370	2	2
pfam1371	1	2
pfam1372	2	2
pfam1373	2	2
pfam1374	2	2
pfam1375	1	1
pfam1376	2	1
pfam1377	1	2
pfam1378	1	2
pfam1379	1	2
pfam1380	1	2
pfam1381	2	2
pfam1382	1	2
pfam1383	1	2
pfam1384	4	2
pfam1385	1	1
pfam1386	2	2
pfam1387	2	2
pfam1388	1	2
pfam1389	4	2
pfam1390	4	2
pfam1391	4	2
pfam1392	2	2
pfam1393	2	2
pfam1394	2	2
pfam1395	1	2
pfam1396	4	2
pfam1397	3	1
pfam1398	4	2
pfam1399	1	1
pfam1400	2	1
pfam1401	28	0
pfam1402	2	1
pfam1403	3	0
pfam1404	4	1
pfam1405	4	2
pfam1406	4	1
pfam1407	31	3
pfam1408	31	3
pfam1409	31	3
pfam1410	31	2
pfam1411	31	3
pfam1412	31	3
pfam1413	29	3
pfam1414	30	3
pfam1415	31	3
pfam1416	31	3
pfam1417	31	3
pfam1418	31	3
pfam1419	31	3
pfam1420	29	3
pfam1421	31	3
pfam1422	31	3
pfam1423	31	3
pfam1424	3	1
pfam1425	30	3
pfam1426	2	0
pfam1427	2	0
pfam1428	2	0
pfam1429	2	0
pfam1430	31	2
pfam1431	31	2
pfam1432	2	2
pfam1433	2	1
pfam1434	5	1
pfam1435	4	1
pfam1436	31	2
pfam1437	31	1
pfam1438	2	1
pfam1439	2	1
pfam1440	3	1
pfam1441	2	2
pfam1442	3	0
pfam1443	31	3
pfam1444	31	1
pfam1445	3	1
pfam1446	3	0
pfam1447	31	2
pfam1448	31	2
pfam1449	31	2
pfam1450	4	2
pfam1451	31	2
pfam1452	31	2
pfam1453	31	2
pfam1454	2	1
pfam1455	2	1
pfam1456	2	1
pfam1457	3	1
pfam1458	29	3
pfam1459	30	0
pfam1460	30	1
pfam1461	3	1
pfam1462	27	0
pfam1463	29	0
pfam1464	30	0
pfam1465	21	0
pfam1466	7	1
pfam1467	26	0
pfam1468	30	2
pfam1469	17	0
pfam1470	30	3
pfam1471	30	1
pfam1472	29	1
pfam1473	27	0
pfam1474	26	0
pfam1475	28	0
pfam1476	26	1
pfam1477	28	0
pfam1478	28	0
pfam1479	27	0
pfam1480	28	0
pfam1481	19	0
pfam1482	6	0
pfam1483	7	0
pfam1484	8	0
pfam1485	29	2
pfam1486	7	0
pfam1487	28	1
pfam1488	30	1
pfam1489	7	0
pfam1490	10	0
pfam1491	9	0
pfam1492	11	0
pfam1493	29	0
